Customer_ID,Branch_ID,Account_Type,Balance,Currency,Status,Created_Date
3020,38,Loan,23606.6,USD,Closed,2015-04-24
3026,74,Business,32705.64,USD,Closed,2025-01-04
2032,77,Checking,58817.47,USD,Closed,2017-04-14
2397,4,Savings,7592.31,EUR,Inactive,2017-12-04
2811,90,Business,77618.2,USD,Closed,2019-10-01
4882,79,Business,10534.39,GBP,Closed,2023-11-07
1667,3,Checking,21231.74,USD,Inactive,2017-07-01
225,53,Savings,70803.04,INR,Closed,2015-12-30
1608,62,Savings,12461.26,EUR,Closed,2019-01-22
386,99,Checking,22203.11,USD,Inactive,2020-04-22
952,40,Checking,6493.41,GBP,Inactive,2016-07-02
418,2,Savings,88636.87,USD,Active,2016-11-02
4407,47,Savings,34497.69,GBP,Closed,2017-06-10
778,94,Checking,57565.91,INR,Closed,2017-05-06
58,80,Savings,65541.99,EUR,Closed,2019-08-14
2850,29,Checking,24046.68,INR,Inactive,2019-12-13
290,52,Loan,70893.15,JPY,Inactive,2017-09-19
4064,48,Business,17521.55,INR,Closed,2018-05-20
2597,87,Loan,92518.84,INR,Active,2018-04-13
2958,30,Business,36917.88,JPY,Closed,2024-12-05
4715,76,Checking,45810.91,USD,Active,2024-05-26
1118,76,Loan,99064.76,GBP,Closed,2019-11-24
2907,39,Savings,12319.44,EUR,Closed,2017-12-14
647,86,Checking,50172.52,GBP,Closed,2021-06-29
4654,94,Checking,8765.78,INR,Active,2024-08-04
2128,25,Loan,28693.63,JPY,Active,2017-10-25
3035,98,Checking,86525.65,GBP,Closed,2017-08-15
1517,34,Business,73308.18,USD,Inactive,2023-05-22
1612,45,Business,24152.82,GBP,Inactive,2016-09-29
71,52,Loan,83453.99,EUR,Closed,2023-03-06
2870,41,Business,35322.77,GBP,Inactive,2024-04-17
1698,8,Business,56658.77,EUR,Inactive,2017-05-07
4554,17,Checking,18301.99,INR,Active,2017-09-23
440,29,Savings,30580.74,INR,Active,2019-09-25
253,52,Checking,79675.18,GBP,Active,2017-12-31
2384,15,Checking,29802.64,INR,Active,2015-04-09
479,20,Business,67326.2,JPY,Closed,2016-12-15
1601,13,Loan,70848.81,EUR,Active,2015-06-03
4735,51,Business,60227.98,JPY,Closed,2021-11-07
3307,62,Loan,64920.86,GBP,Inactive,2019-09-04
399,63,Loan,48549.84,USD,Closed,2023-07-12
4165,69,Checking,32137.58,INR,Closed,2016-08-21
2922,77,Checking,62476.93,EUR,Closed,2016-08-08
4628,69,Loan,4227.24,GBP,Closed,2017-06-27
4278,40,Savings,73263.16,GBP,Inactive,2019-12-12
3309,49,Savings,18500.91,USD,Inactive,2023-10-03
401,22,Business,73321.02,USD,Inactive,2022-05-18
4115,60,Business,2254.2,JPY,Inactive,2019-08-31
50,75,Business,45320.95,GBP,Closed,2021-04-08
1267,71,Business,7544.39,EUR,Active,2022-02-11
2675,25,Checking,48527.62,JPY,Active,2022-04-06
4859,18,Checking,84517.06,JPY,Active,2018-01-29
468,18,Loan,80056.97,GBP,Inactive,2019-06-11
1697,7,Loan,31744.41,GBP,Active,2017-08-10
4061,19,Loan,91783.4,EUR,Closed,2018-10-17
2520,52,Savings,6197.39,EUR,Closed,2015-12-25
3863,20,Loan,51510.22,JPY,Closed,2022-11-08
1202,82,Checking,42262.69,JPY,Inactive,2022-04-11
1816,4,Business,38365.94,EUR,Active,2023-06-12
350,73,Loan,9954.55,USD,Active,2017-06-01
4131,15,Savings,78164.7,USD,Closed,2021-06-09
1644,38,Checking,64556.36,USD,Closed,2021-07-31
2917,27,Loan,56196.96,USD,Closed,2022-05-18
4871,1,Savings,86482.85,JPY,Closed,2020-12-10
3817,56,Checking,59107.44,JPY,Active,2020-06-22
460,21,Business,13499.66,GBP,Active,2018-10-16
2150,99,Business,94052.03,EUR,Inactive,2024-08-16
3282,10,Business,40419.86,JPY,Closed,2019-08-12
3581,74,Business,27891.77,INR,Inactive,2022-06-07
2145,49,Business,67813.68,JPY,Closed,2021-12-02
4994,77,Savings,63884.25,INR,Closed,2015-12-24
2145,86,Savings,85095.07,INR,Closed,2023-08-09
3239,7,Business,47450.9,USD,Closed,2023-11-04
3056,73,Business,89781.73,JPY,Inactive,2019-01-11
4000,41,Checking,30811.09,GBP,Active,2022-02-09
4527,61,Business,98877.56,INR,Inactive,2019-12-10
1747,82,Loan,12160.77,USD,Closed,2018-12-25
1004,51,Business,96512.19,EUR,Active,2018-10-30
3065,50,Checking,6744.4,INR,Inactive,2015-05-27
4826,45,Business,66335.86,JPY,Inactive,2023-10-25
3608,44,Savings,92671.13,INR,Active,2022-07-14
4220,22,Checking,63156.7,USD,Inactive,2018-04-13
1762,6,Savings,95834.34,JPY,Closed,2024-05-05
1901,95,Business,68642.36,USD,Inactive,2021-01-12
1475,77,Loan,52556.58,EUR,Inactive,2023-05-27
2743,16,Checking,5614.56,JPY,Inactive,2016-06-08
103,68,Savings,71761.78,EUR,Inactive,2015-02-23
3017,96,Loan,19873.52,GBP,Active,2024-11-13
3440,6,Business,69142.01,JPY,Inactive,2024-10-13
928,6,Checking,15233.6,USD,Active,2016-10-22
231,54,Loan,39074.77,EUR,Inactive,2019-07-02
4732,32,Business,34571.81,INR,Closed,2022-12-27
2086,34,Savings,53093.3,JPY,Closed,2020-12-08
3719,14,Checking,21032.92,INR,Active,2015-12-14
1251,15,Savings,52211.89,EUR,Active,2024-05-12
4011,52,Checking,44514.56,USD,Inactive,2021-05-01
3699,5,Checking,76365.62,USD,Inactive,2023-01-08
