Branch_ID,Branch_Name,Address,City,State,Country,Manager_ID,Contact_Number
1,Branch 1,"633 Edward Manor, Port Anthonyshire, CT 20571",Lindsayborough,North Dakota,Mayotte,183,001-241-215-4119x324
2,Branch 2,"Unit 4715 Box 9848, DPO AP 65858",Whiteborough,Wyoming,Northern Mariana Islands,63,571.596.2765x60935
3,Branch 3,"857 Soto Meadow, Hannahmouth, MD 46929",Chapmanside,Illinois,Nigeria,236,001-582-913-6161
4,Branch 4,"36910 Jones Fort Apt. 352, Colemanstad, AK 09408",Lake Biancaton,New York,Martinique,117,001-980-797-7117x2563
5,Branch 5,"PSC 2599, Box 3041, APO AP 31532",North Eugeneview,Washington,Germany,86,001-326-762-2607
6,Branch 6,"012 Chavez Rue, Pennyborough, HI 46023",Lake Tammybury,New Hampshire,Kiribati,114,001-663-729-3919x1440
7,Branch 7,"8968 Scott Stream, Malonemouth, CO 15914",North Christopherland,Wyoming,Malawi,202,001-484-532-7165x619
8,Branch 8,"7241 Snyder Port, Loganside, RI 84746",North Linda,California,Guatemala,36,799-315-8956
9,Branch 9,"328 Carolyn Falls, Robinsonport, TX 23771",Michelleside,Alabama,Namibia,244,292.293.5161
10,Branch 10,"7558 Alexa Orchard Suite 858, East Rebecca, OK 27114",Amybury,South Dakota,Cayman Islands,70,+1-948-907-3077x0118
11,Branch 11,"3378 Bradley Coves, Lake Leslie, WY 42925",Herreraberg,Iowa,Israel,298,192-463-8016
12,Branch 12,"20989 Newton Stream Apt. 713, South Kayla, NM 93612",Henrymouth,Tennessee,South Africa,209,001-909-415-1494x390
13,Branch 13,"4947 Jennifer Pines, Maryberg, WA 47094",Robinsonview,Oregon,Cocos (Keeling) Islands,283,125-102-4622x538
14,Branch 14,"5614 April Prairie, New Dwayneburgh, DE 78383",Richardshire,Mississippi,Ecuador,177,2387913267
15,Branch 15,"182 Dustin Hollow, Lake Melindastad, SD 99381",West Julia,Nebraska,Ecuador,249,(088)080-8483
