Card_ID,Merchant_ID,Amount,Currency,Date,Status
489,198,4652.15,INR,2025-01-13,Approved
137,78,2301.79,USD,2024-08-02,Declined
35,146,2802.19,USD,2025-02-05,Declined
454,135,4906.9,JPY,2024-02-29,Approved
253,452,4769.68,JPY,2024-11-07,Pending
381,32,681.35,JPY,2024-04-16,Declined
192,405,253.39,EUR,2024-12-18,Reversed
388,100,4279.41,USD,2024-10-18,Approved
270,185,3265.7,INR,2024-05-08,Reversed
456,244,4121.62,USD,2024-11-30,Declined
204,486,4060.37,JPY,2024-12-01,Pending
176,467,1819.97,JPY,2024-02-23,Pending
436,99,4378.15,INR,2025-02-03,Declined
145,393,2146.2,USD,2024-03-26,Reversed
455,229,4112.48,INR,2024-05-29,Reversed
60,402,2620.24,INR,2024-08-15,Pending
247,283,615.98,EUR,2024-04-02,Declined
326,481,3738.9,USD,2024-09-06,Pending
151,68,454.92,GBP,2024-12-30,Pending
170,352,2166.37,JPY,2024-04-26,Pending
196,37,2869.15,INR,2024-08-09,Declined
257,370,4086.54,INR,2024-03-21,Pending
5,467,1560.71,GBP,2024-04-27,Reversed
153,280,1845.14,GBP,2024-10-12,Reversed
125,385,1734.71,INR,2024-10-08,Reversed
145,383,2546.61,INR,2025-01-28,Approved
419,223,537.34,EUR,2024-06-03,Reversed
194,363,4276.75,USD,2025-01-13,Declined
96,64,384.34,USD,2024-02-28,Reversed
410,97,906.13,GBP,2024-03-20,Reversed
463,144,1754.93,GBP,2024-12-17,Pending
91,467,1903.56,INR,2025-01-19,Declined
412,2,1694.2,GBP,2025-01-18,Reversed
97,220,798.09,GBP,2025-01-07,Reversed
191,251,1461.34,EUR,2024-03-15,Approved
8,458,1123.69,JPY,2024-09-30,Approved
471,22,1250.15,JPY,2024-08-23,Declined
147,350,4118.89,JPY,2025-01-12,Reversed
73,461,4269.8,GBP,2024-04-18,Reversed
6,437,3681.22,INR,2024-06-09,Approved
48,5,2789.98,GBP,2024-06-08,Reversed
427,179,1837.57,EUR,2025-01-12,Reversed
46,149,3088.08,JPY,2024-03-19,Declined
466,231,3143.46,INR,2024-06-25,Reversed
447,174,336.46,GBP,2024-11-11,Approved
241,237,4527.96,JPY,2025-02-04,Pending
