Customer_ID,Credit_Score,Updated_At
785,827,2024-10-29
726,623,2024-09-26
180,352,2024-02-26
485,783,2024-09-26
156,605,2024-09-17
146,613,2024-07-19
60,611,2024-05-11
301,540,2024-04-08
645,375,2024-04-13
360,347,2024-07-26
646,580,2024-08-26
537,317,2024-05-28
812,622,2024-03-11
578,492,2024-08-07
658,378,2024-03-01
828,749,2024-04-20
144,832,2024-06-13
24,352,2024-04-19
841,375,2024-05-11
605,782,2024-05-07
108,592,2024-08-02
402,510,2024-10-25
731,419,2024-08-07
260,773,2024-11-06
387,414,2024-06-03
366,428,2024-07-24
329,797,2024-03-05
787,785,2025-01-31
715,415,2024-08-24
273,659,2025-02-19
442,731,2024-07-18
213,644,2024-06-13
107,569,2024-04-08
124,768,2024-08-05
262,309,2024-02-24
893,554,2024-10-11
258,468,2024-03-30
16,716,2024-11-07
853,364,2024-05-17
867,572,2024-10-09
86,752,2024-10-11
353,584,2024-11-15
144,464,2024-09-23
728,552,2024-07-30
668,334,2024-12-17
347,486,2024-06-05
42,721,2024-08-22
727,720,2024-09-11
595,777,2024-12-15
610,466,2024-10-23
554,627,2024-12-25
574,817,2024-06-03
363,571,2024-10-09
791,651,2024-05-26
253,708,2024-03-22
657,821,2024-07-07
730,616,2024-09-25
170,700,2024-12-18
33,557,2025-02-08
125,415,2024-07-22
763,578,2024-06-06
458,671,2024-06-28
481,686,2024-05-30
659,785,2024-12-18
398,642,2024-06-21
765,566,2024-09-20
809,546,2024-08-28
987,742,2024-04-17
188,836,2024-02-29
265,799,2024-07-31
696,588,2024-11-07
897,376,2024-04-04
16,585,2024-05-02
736,506,2025-02-14
909,821,2024-12-18
988,696,2024-05-28
170,384,2024-08-30
396,627,2024-05-04
347,466,2024-04-26
190,468,2024-04-15
932,826,2024-08-21
859,581,2024-06-24
661,799,2025-02-12
199,396,2024-10-11
42,512,2024-11-16
986,609,2024-08-30
164,833,2025-02-13
356,375,2024-08-04
519,627,2024-08-22
451,501,2024-06-26
569,622,2024-06-19
342,591,2024-10-14
352,580,2024-03-23
560,396,2024-12-30
425,321,2024-08-08
903,818,2025-02-06
237,768,2024-12-25
170,598,2024-08-12
907,646,2024-12-22
637,343,2024-08-08
625,656,2024-08-19
510,573,2024-11-14
434,611,2024-03-02
85,765,2024-11-17
545,578,2025-01-04
208,792,2024-09-28
789,355,2024-12-10
975,584,2024-10-24
32,550,2025-02-17
684,519,2024-10-10
333,360,2024-09-22
35,598,2024-03-20
334,846,2024-03-14
852,406,2024-05-01
644,687,2024-11-08
990,577,2024-11-16
445,526,2024-06-01
692,593,2024-08-14
688,777,2024-03-20
112,348,2025-01-28
927,602,2024-06-29
69,459,2024-12-20
295,810,2024-09-09
651,580,2024-06-26
710,517,2024-05-01
327,490,2024-05-19
515,658,2024-11-18
768,722,2024-09-19
205,395,2024-09-28
506,399,2024-12-24
188,672,2024-06-24
644,404,2024-12-31
270,581,2024-09-06
86,597,2024-03-17
769,485,2024-06-08
300,699,2024-05-27
742,529,2024-02-23
523,396,2025-01-09
515,403,2024-11-19
421,625,2025-01-02
41,695,2025-01-26
874,770,2024-07-05
748,388,2025-01-10
911,518,2024-12-23
123,591,2024-09-02
220,499,2024-06-06
349,737,2024-10-20
541,641,2024-09-13
496,629,2024-09-16
926,597,2024-08-23
805,354,2024-04-10
54,848,2024-02-29
89,428,2024-04-19
885,504,2024-11-11
737,444,2024-05-30
255,323,2024-03-17
496,433,2025-01-22
683,564,2024-06-13
666,543,2025-01-17
332,613,2024-10-12
631,674,2024-10-11
624,411,2024-05-19
394,682,2024-06-28
911,305,2024-07-16
181,789,2024-09-14
819,629,2025-01-02
737,649,2025-02-01
697,423,2024-12-26
633,690,2024-05-26
180,317,2024-12-02
128,381,2024-06-06
758,373,2024-09-18
767,711,2024-11-11
913,592,2024-07-21
806,581,2024-03-30
79,551,2024-11-21
752,406,2024-07-16
924,804,2024-06-04
767,380,2024-09-30
854,584,2024-04-29
233,448,2024-12-13
431,635,2024-06-14
