Affected_System,Reported_Date,Resolution_Status
Firewall,2025-01-19,Acknowledged
File Server,2024-06-10,Pending
Database,2024-08-29,Pending
File Server,2024-09-24,In Progress
File Server,2024-11-21,In Progress
Network,2024-04-12,Resolved
File Server,2025-01-24,Acknowledged
File Server,2024-10-02,Resolved
Database,2024-09-08,Pending
Firewall,2024-10-21,Resolved
Firewall,2024-08-14,In Progress
Network,2024-08-29,Resolved
Backup System,2024-07-28,Pending
Firewall,2024-11-09,Resolved
File Server,2024-03-24,Resolved
Database,2024-11-07,Resolved
Web Application,2024-09-16,Acknowledged
Database,2024-04-03,Pending
Firewall,2024-07-21,In Progress
Database,2024-03-24,Acknowledged
Network,2024-04-19,Acknowledged
File Server,2024-07-30,Acknowledged
File Server,2024-09-23,Resolved
Firewall,2024-09-08,Pending
Web Application,2024-10-04,Resolved
Firewall,2024-08-10,In Progress
Backup System,2024-03-01,In Progress
Backup System,2024-07-10,In Progress
Network,2024-12-25,Pending
Network,2024-12-08,Pending
Network,2024-04-10,In Progress
Web Application,2024-10-13,Acknowledged
Network,2024-08-30,Acknowledged
Backup System,2024-11-13,Acknowledged
Backup System,2024-10-22,Resolved
File Server,2024-03-26,Resolved
Network,2024-03-07,In Progress
Database,2024-04-28,Pending
File Server,2024-11-07,Resolved
Backup System,2024-09-19,Resolved
Email System,2024-09-19,Resolved
Web Application,2024-04-13,Acknowledged
Network,2024-07-02,Resolved
File Server,2024-03-28,Acknowledged
Network,2024-05-18,Resolved
File Server,2024-03-03,Resolved
Firewall,2024-11-01,Acknowledged
Backup System,2024-04-19,Acknowledged
Database,2024-11-21,Acknowledged
Firewall,2024-04-05,In Progress
File Server,2024-12-14,Resolved
Firewall,2025-01-13,Resolved
Network,2024-12-25,Acknowledged
Email System,2024-10-19,Acknowledged
File Server,2024-12-31,Resolved
Backup System,2024-11-19,Acknowledged
Backup System,2025-02-03,Pending
Firewall,2024-07-19,Pending
Firewall,2024-06-28,In Progress
Web Application,2024-04-28,Acknowledged
Network,2024-10-15,Acknowledged
Network,2024-10-24,Pending
Database,2024-10-12,Acknowledged
Firewall,2024-08-26,Pending
Firewall,2024-03-07,Acknowledged
File Server,2024-09-07,Acknowledged
File Server,2024-05-04,Acknowledged
Backup System,2025-01-01,In Progress
Network,2024-10-14,Resolved
Firewall,2024-05-09,Resolved
Firewall,2025-01-25,Resolved
Email System,2024-08-30,Resolved
Web Application,2025-01-08,Acknowledged
Backup System,2024-12-22,Pending
Email System,2024-09-16,Resolved
Web Application,2024-12-06,Acknowledged
Web Application,2024-10-16,In Progress
Backup System,2024-03-26,Pending
Firewall,2024-08-13,In Progress
Firewall,2024-03-05,Acknowledged
Backup System,2025-02-03,Acknowledged
Backup System,2024-12-23,Resolved
Database,2024-11-23,Acknowledged
Backup System,2024-05-01,Pending
Web Application,2024-07-24,Resolved
Network,2024-06-13,Acknowledged
Email System,2024-02-20,Pending
Database,2025-02-12,Acknowledged
Backup System,2025-02-10,Pending
File Server,2024-09-13,Acknowledged
Database,2024-02-25,Resolved
Backup System,2024-04-27,Acknowledged
Email System,2024-10-06,Pending
Database,2024-09-19,Resolved
File Server,2024-05-02,Acknowledged
Network,2024-10-23,Acknowledged
Web Application,2024-03-03,Resolved
File Server,2024-12-04,Resolved
Web Application,2024-05-16,Acknowledged
Email System,2024-06-04,Pending
