Customer_ID,Amount_Due,Due_Date,Collector_Assigned
1,3069.15,2025-03-17,Jane Smith
2,3927.79,2025-03-16,Jane Smith
3,4379.72,2025-03-19,Samuel White
4,4071.77,2025-03-09,John Doe
5,3858.92,2025-04-15,Samuel White
6,2032.38,2025-03-01,John Doe
7,3020.42,2025-04-26,Paul Brown
8,4208.65,2025-03-13,Emily Davis
9,2708.64,2025-03-18,Jane Smith
10,2879.76,2025-04-17,Jane Smith
11,2567.16,2025-03-30,Samuel White
12,538.0,2025-04-20,John Doe
13,4108.65,2025-04-01,Anna Taylor
14,4661.27,2025-03-26,Emily Davis
15,4126.86,2025-04-19,Paul Brown
16,2477.65,2025-03-11,Emily Davis
17,1278.05,2025-04-24,Paul Brown
18,3139.7,2025-04-16,Anna Taylor
19,3426.67,2025-03-20,Anna Taylor
20,3534.32,2025-03-09,Jane Smith
21,4057.04,2025-03-01,Jane Smith
22,2633.3,2025-03-16,Samuel White
23,3370.59,2025-04-27,Samuel White
24,2952.4,2025-04-02,Anna Taylor
25,2901.59,2025-03-11,Mary Johnson
26,4171.45,2025-03-17,Paul Brown
27,509.26,2025-03-07,Jane Smith
28,1667.45,2025-04-22,Jane Smith
29,2101.7,2025-04-24,Emily Davis
30,2832.5,2025-04-13,John Doe
31,3377.92,2025-04-10,Mary Johnson
32,2109.0,2025-04-29,Paul Brown
33,502.91,2025-04-05,Mary Johnson
34,3341.02,2025-03-22,Anna Taylor
35,2389.78,2025-04-19,Mary Johnson
36,2982.33,2025-04-27,Anna Taylor
37,4572.83,2025-03-18,Emily Davis
38,3357.37,2025-04-08,Samuel White
39,1835.73,2025-03-04,Samuel White
40,4745.59,2025-03-08,Emily Davis
41,3176.02,2025-04-01,Paul Brown
42,4656.35,2025-04-01,Jane Smith
43,3326.11,2025-04-08,Jane Smith
44,2062.3,2025-04-03,Emily Davis
45,4756.6,2025-04-11,Anna Taylor
46,2068.96,2025-03-03,Paul Brown
47,4948.86,2025-04-21,Samuel White
48,2875.38,2025-04-03,Paul Brown
49,1273.89,2025-04-29,Samuel White
50,837.96,2025-03-08,Emily Davis
