Department_ID,Department_Name,Manager_ID
1,"Pharmacist, community",93
2,"Therapist, drama",196
3,Land/geomatics surveyor,244
4,"Conservation officer, nature",170
5,Forest/woodland manager,146
6,Community education officer,71
7,Pension scheme manager,299
8,Accounting technician,190
9,"Administrator, Civil Service",212
10,Public affairs consultant,53
11,"Production designer, theatre/television/film",104
12,"Lighting technician, broadcasting/film/video",270
13,Interpreter,110
14,Hospital pharmacist,140
15,Patent examiner,111
16,Cabin crew,102
17,Market researcher,129
18,Facilities manager,205
19,"Engineer, manufacturing",112
20,Psychiatric nurse,89
21,"Programmer, systems",93
22,"Journalist, newspaper",183
23,"Engineer, building services",295
24,Private music teacher,106
25,Cytogeneticist,109
26,"Engineer, mining",118
27,"Conservator, furniture",191
28,"Programmer, multimedia",191
29,Public librarian,216
30,"Teacher, secondary school",46
