Employee_ID,Check_in_Time,Check_out_Time,Total_Hours
1042,07:40:00,15:11:24,7.52
1040,09:51:00,17:27:24,7.61
1028,09:08:00,16:11:48,7.06
1040,10:22:00,19:10:02,8.8
1013,10:11:00,16:54:49,6.73
1001,10:40:00,19:12:18,8.54
1037,10:32:00,16:40:50,6.15
1009,08:24:00,17:43:43,9.33
1018,08:54:00,18:42:18,9.81
1039,10:46:00,20:27:45,9.7
1010,07:53:00,17:43:00,9.83
1031,10:55:00,19:41:36,8.78
1033,10:04:00,17:38:47,7.58
1006,10:28:00,18:05:41,7.63
1014,08:41:00,15:59:58,7.32
1037,07:03:00,13:17:28,6.24
1013,10:22:00,16:58:28,6.61
1014,10:18:00,18:37:52,8.33
1023,09:32:00,17:27:43,7.93
1018,07:48:00,17:09:39,9.36
1012,07:43:00,14:32:38,6.83
1012,07:08:00,14:27:47,7.33
1014,09:14:00,16:25:22,7.19
1000,10:31:00,19:19:09,8.8
1027,09:08:00,17:14:58,8.12
1048,08:34:00,16:41:30,8.13
1041,07:37:00,15:39:52,8.05
1037,08:32:00,15:42:14,7.17
1035,08:42:00,17:23:07,8.69
1034,08:15:00,15:03:25,6.81
1017,10:24:00,18:30:12,8.1
1037,07:16:00,15:03:56,7.8
1028,09:51:00,19:23:31,9.54
1048,09:28:00,19:03:53,9.6
1027,10:20:00,17:46:54,7.45
1040,10:11:00,19:05:15,8.9
1049,07:53:00,14:01:23,6.14
1048,08:24:00,15:18:09,6.9
1028,07:32:00,14:15:19,6.72
1039,10:43:00,20:18:26,9.59
1037,08:47:00,15:47:17,7.0
1037,09:14:00,18:00:11,8.77
1010,10:06:00,19:42:36,9.61
1039,09:35:00,16:18:17,6.72
1023,10:42:00,18:16:58,7.58
1047,08:08:00,15:51:36,7.73
1033,09:29:00,17:02:03,7.55
1012,10:59:00,20:30:18,9.52
1037,07:23:00,13:29:04,6.1
1014,07:51:00,17:02:13,9.19
