Customer_ID,Currency_Pair,Exchange_Rate,Amount_Exchanged
10,USD/GBP,1.21812,3973.03
28,AUD/USD,0.993544,2320.98
1,GBP/USD,1.278687,6653.55
55,USD/JPY,1.452878,7269.88
22,USD/CAD,1.244828,806.77
81,USD/JPY,1.37404,2933.44
52,EUR/GBP,0.882072,9486.5
68,USD/GBP,0.912963,8492.96
94,USD/GBP,1.008898,146.59
53,USD/AUD,0.84283,2849.85
80,USD/CAD,1.333774,9302.92
38,USD/CHF,1.340328,6195.24
92,USD/JPY,1.298251,6181.72
82,EUR/JPY,0.899051,8088.08
86,USD/JPY,0.535336,7360.09
45,GBP/USD,1.014359,6804.25
74,USD/JPY,0.931245,7306.37
48,AUD/USD,0.686111,8485.19
96,GBP/USD,1.094112,2723.08
23,EUR/JPY,1.49268,3660.72
43,USD/CHF,0.505034,3942.35
99,EUR/GBP,0.814646,2345.83
25,USD/EUR,1.214895,5349.92
6,USD/GBP,1.066981,4774.23
82,USD/GBP,0.809085,1936.77
75,USD/EUR,0.790898,3311.05
8,USD/CAD,0.776706,2773.66
14,USD/CHF,1.148887,1228.87
91,EUR/GBP,1.476648,3121.15
7,USD/AUD,1.461184,1601.74
81,AUD/USD,1.188998,1939.91
44,USD/EUR,1.315451,5578.39
65,EUR/JPY,0.568455,2796.54
5,USD/CHF,0.735358,1738.1
85,USD/EUR,0.90044,5869.51
66,AUD/USD,0.915634,6176.88
45,USD/CHF,1.351039,1248.81
41,USD/JPY,0.883447,9371.88
41,USD/AUD,0.532301,7811.88
59,USD/CHF,1.359823,379.04
33,EUR/JPY,0.549298,2671.64
22,EUR/JPY,0.944393,9901.55
88,USD/EUR,0.539786,5288.94
32,USD/CHF,0.753309,3940.16
2,USD/AUD,1.292069,7623.13
68,GBP/USD,1.413453,5419.1
87,AUD/USD,0.736095,2472.59
93,USD/CHF,0.790207,9666.76
23,EUR/GBP,1.221833,6251.6
99,AUD/USD,0.902274,6033.79
70,USD/GBP,0.917247,6821.94
72,USD/GBP,1.147493,9540.18
16,GBP/USD,0.635661,9297.62
58,GBP/USD,0.517195,8362.89
84,EUR/GBP,0.764261,1382.85
19,USD/AUD,1.490895,4418.55
54,USD/JPY,1.088746,7409.67
23,USD/EUR,1.092559,4878.46
17,USD/CHF,1.403371,3412.32
11,USD/JPY,0.924842,2064.52
98,EUR/JPY,1.055832,2196.95
56,USD/JPY,0.807586,2397.84
27,USD/CAD,0.791887,9585.19
66,USD/CAD,0.540789,233.05
16,AUD/USD,0.813248,1597.36
16,AUD/USD,0.897571,9181.31
4,USD/GBP,0.671209,7087.84
74,USD/JPY,0.874308,7157.89
58,EUR/GBP,1.102296,9151.91
87,USD/CAD,0.71404,4449.09
51,USD/EUR,0.779509,9902.51
8,USD/AUD,0.81791,6974.77
99,USD/CHF,1.298164,734.95
2,GBP/USD,1.166214,9008.38
21,AUD/USD,1.006849,8272.86
76,EUR/JPY,1.179932,9004.7
33,EUR/JPY,0.877124,8574.75
2,USD/EUR,1.062754,6068.07
86,GBP/USD,0.836281,5649.71
46,EUR/JPY,0.796117,5399.31
71,USD/GBP,1.318162,4336.5
45,GBP/USD,1.175564,1943.95
96,AUD/USD,0.75694,6652.01
4,USD/AUD,0.646734,8028.44
98,USD/AUD,1.350671,1652.25
86,USD/JPY,1.088705,989.04
38,USD/CAD,1.390689,6640.5
32,USD/EUR,0.854915,2994.14
60,USD/GBP,0.749945,5526.25
30,USD/GBP,1.319756,3100.83
12,USD/AUD,1.164128,4427.77
41,GBP/USD,1.07168,2654.23
84,AUD/USD,0.994461,4752.59
100,EUR/GBP,1.287537,1296.77
41,USD/GBP,1.300901,3650.1
47,AUD/USD,1.460414,8595.88
32,USD/JPY,1.370594,8377.93
13,EUR/GBP,1.457348,3342.49
59,EUR/GBP,0.694744,7282.57
1,USD/CHF,0.651392,1834.64
