Customer_ID,Transaction_ID,Risk_Level,Reported_Date
373,1904,Low,2024-08-19
207,3013,Low,2024-10-18
932,1265,Low,2024-10-08
804,2252,Critical,2024-09-22
537,33,Critical,2025-01-22
621,1668,Medium,2024-09-28
82,1931,Low,2024-06-03
228,2969,Medium,2024-10-21
482,3581,Medium,2024-09-22
526,537,Medium,2024-05-25
255,572,High,2024-03-22
793,843,Critical,2024-06-01
512,3128,Critical,2024-12-01
444,2629,Critical,2025-01-11
252,3144,Medium,2024-06-12
793,2672,Critical,2024-08-22
526,3706,Low,2024-05-16
863,3124,Critical,2024-12-19
959,549,Medium,2024-05-23
292,326,High,2024-03-23
943,4066,Low,2025-02-02
676,1509,Low,2024-02-22
178,3957,Medium,2024-04-12
978,900,Low,2025-01-05
675,4715,Medium,2024-03-06
3,3635,Medium,2024-10-01
386,2560,Critical,2024-09-06
514,1835,Medium,2024-05-29
744,2221,Low,2024-11-23
693,3257,High,2024-07-24
364,602,Medium,2024-11-24
482,4194,High,2024-06-26
992,528,Critical,2024-07-16
44,778,Low,2024-07-16
867,285,Medium,2024-11-20
118,1748,Medium,2025-01-13
652,42,High,2024-07-21
722,4981,Low,2024-06-02
293,3476,High,2024-02-28
909,4004,Low,2024-10-12
51,347,Medium,2024-04-22
299,4173,Low,2024-06-02
4,1568,Low,2024-04-25
516,3206,Medium,2025-01-31
314,4423,High,2024-07-18
699,4204,Critical,2024-08-30
804,3408,Critical,2024-03-18
258,1454,Critical,2024-05-13
191,1085,High,2025-01-13
244,4049,Critical,2024-04-15
430,4615,Medium,2024-09-28
104,1382,Low,2024-06-16
594,1123,Critical,2025-02-02
214,1661,Medium,2024-06-08
608,1146,Low,2024-05-30
610,3793,Low,2024-10-28
380,4276,Critical,2024-10-03
463,3066,High,2024-07-04
350,2076,Medium,2024-06-19
320,2328,Critical,2024-04-30
454,4584,High,2024-03-02
36,33,High,2024-04-25
938,1344,High,2024-03-29
887,3607,Critical,2024-09-08
233,4569,Critical,2024-08-05
157,3695,High,2024-03-05
182,763,Critical,2024-07-24
397,3012,High,2024-05-05
666,4164,Medium,2024-07-13
133,1039,Critical,2024-06-18
707,3056,Medium,2024-02-22
138,3265,Medium,2024-11-30
73,2610,Low,2024-04-08
222,2727,Medium,2024-08-28
875,461,Medium,2025-01-16
732,285,Critical,2024-09-10
887,3734,Medium,2024-05-30
356,1288,Medium,2024-11-15
904,3736,Critical,2024-11-11
914,4592,Low,2024-05-05
430,672,Low,2024-02-29
223,1154,Low,2024-05-25
532,549,High,2024-05-19
875,4508,Low,2025-02-12
137,4316,Critical,2024-03-23
86,2253,Critical,2024-07-26
430,4096,Critical,2024-12-28
298,2152,High,2024-07-23
697,1976,Low,2024-09-09
377,3991,Critical,2024-06-16
49,3327,High,2024-08-17
433,3887,Medium,2024-11-29
779,4067,Medium,2024-06-29
935,1901,Critical,2025-02-15
723,2028,Low,2024-12-03
141,4549,Medium,2024-12-02
113,3054,Critical,2025-01-30
814,123,Medium,2024-07-17
437,1107,Critical,2024-07-03
550,4357,Medium,2025-01-20
