Policy_ID,Claim_Amount,Status,Filed_Date
21,31588.03,Denied,2024-06-11
14,24304.51,Pending,2025-01-28
10,22946.2,Under Review,2024-09-19
24,21393.51,Denied,2024-07-11
39,22068.48,Under Review,2025-10-18
35,9713.97,Settled,2025-03-30
10,24339.51,Settled,2025-12-30
49,14567.35,Denied,2025-05-14
20,6043.47,Approved,2024-02-06
15,42262.54,Pending,2024-07-26
28,29125.62,Approved,2024-02-14
32,23566.92,Settled,2024-03-27
20,4143.87,Approved,2024-06-10
42,22687.14,Approved,2024-10-05
3,45985.24,Pending,2025-10-09
29,42439.76,Approved,2024-10-05
49,42158.3,Denied,2024-02-27
35,42009.51,Under Review,2025-07-27
40,4302.28,Approved,2024-01-06
8,8035.48,Settled,2024-12-31
19,45489.74,Pending,2024-02-22
44,25614.26,Under Review,2024-05-28
40,9242.71,Under Review,2024-04-30
23,11670.33,Pending,2024-05-13
4,36863.71,Under Review,2024-09-01
38,28695.76,Approved,2024-05-23
25,6305.34,Under Review,2024-05-12
10,45072.78,Settled,2025-10-08
40,21037.01,Under Review,2024-06-03
7,4380.93,Under Review,2024-08-18
37,43238.93,Pending,2025-09-17
18,24617.97,Pending,2025-08-24
8,47845.25,Approved,2024-03-10
12,29459.16,Approved,2024-12-21
12,26742.1,Under Review,2024-06-02
17,19865.48,Approved,2025-04-09
31,8378.96,Pending,2024-09-15
14,15764.63,Approved,2024-02-20
11,28146.91,Denied,2025-05-11
13,3061.02,Pending,2025-10-27
43,35510.4,Approved,2024-08-06
9,2888.52,Denied,2024-08-14
15,47379.0,Approved,2025-03-25
8,32777.03,Approved,2025-08-02
13,1786.15,Settled,2024-11-12
19,3069.89,Approved,2025-06-20
21,17575.39,Approved,2024-09-27
48,34719.67,Settled,2025-12-27
22,4666.89,Pending,2024-02-14
11,48133.84,Settled,2024-07-05
