Customer_ID,Insurance_Type,Premium_Amount,Coverage_Amount
9,Health,2380.53,715349.87
18,Critical Illness,2540.61,78457.73
19,Property,3510.69,498982.45
32,Health,1944.03,481981.43
23,Disability,2264.68,350369.31
38,Home,446.59,55308.22
36,Home,4768.9,25946.63
36,Home,1036.46,714298.66
40,Auto,4494.6,474810.24
35,Auto,2452.92,225346.85
26,Health,1564.79,7501.46
25,Health,3039.38,829898.21
14,Home,2227.6,418425.73
48,Travel,3995.13,559559.32
26,Critical Illness,495.96,88449.6
39,Home,420.72,677861.65
30,Health,3053.02,78503.93
23,Auto,2317.73,734536.67
33,Life,4527.09,454719.21
40,Health,3861.66,528678.53
42,Travel,3302.41,843725.51
6,Critical Illness,3963.04,492374.42
21,Health,2191.13,781576.57
21,Disability,4542.08,62236.26
33,Property,2530.65,683478.53
4,Home,2408.72,820500.21
24,Auto,1474.12,431921.89
46,Life,670.8,261731.64
44,Home,4510.47,997477.24
32,Critical Illness,4204.16,454287.34
40,Disability,3387.62,815993.11
1,Auto,251.77,295000.43
31,Critical Illness,3494.12,270345.99
20,Travel,2134.1,608588.96
13,Life,4062.37,602182.07
50,Home,949.17,416587.18
35,Travel,4519.09,131751.61
47,Health,1788.42,248105.7
31,Health,450.8,301465.31
20,Auto,4597.8,812646.79
9,Home,772.32,72023.98
7,Health,4980.14,835639.72
44,Life,3381.48,944703.3
38,Auto,2777.82,265728.68
10,Life,4806.91,543340.2
32,Property,3380.16,231195.84
5,Health,1377.12,912321.31
1,Travel,543.26,469247.89
43,Life,786.45,900270.22
1,Disability,4303.64,953562.33
