Customer_ID,Branch_ID,Account_Type,Balance,Created_Date,Status,Currency
2511,43,Checking,455303.31,2017-08-14,Inactive,USD
2637,79,Loan,462331.85,2020-08-25,Closed,USD
1097,19,Checking,221423.08,2019-12-26,Inactive,USD
3120,93,Savings,15412.06,2024-07-13,Closed,USD
4190,31,Checking,39345.29,2016-10-01,Closed,USD
4818,44,Business,145298.47,2024-04-13,Inactive,USD
1963,58,Business,134225.5,2019-03-11,Active,USD
2847,37,Business,370584.3,2020-09-22,Inactive,USD
3664,25,Business,308315.69,2015-11-27,Closed,USD
2568,99,Loan,488802.02,2017-03-01,Inactive,USD
4706,85,Loan,225160.11,2018-05-18,Inactive,USD
4952,80,Savings,492682.42,2024-12-28,Active,USD
3009,26,Checking,298545.97,2019-12-08,Closed,USD
2867,27,Business,5292.92,2021-05-09,Active,USD
2223,25,Savings,198787.75,2021-02-26,Active,USD
1359,45,Loan,355426.82,2018-07-21,Inactive,USD
1721,34,Checking,51602.9,2022-07-02,Active,USD
3278,64,Business,497798.15,2023-07-09,Inactive,USD
4755,27,Loan,301827.29,2024-04-17,Inactive,USD
3460,81,Checking,48148.99,2016-06-05,Active,USD
3095,35,Checking,158635.79,2016-01-13,Inactive,USD
4217,48,Business,392146.08,2020-07-24,Inactive,USD
1910,49,Checking,158579.66,2022-10-20,Closed,USD
4309,71,Business,160915.56,2024-07-18,Inactive,USD
1989,50,Checking,188344.23,2015-11-02,Inactive,USD
1386,38,Loan,179602.67,2017-09-14,Active,USD
3794,13,Loan,265484.13,2023-04-19,Closed,USD
1372,63,Loan,376680.22,2020-05-28,Active,USD
3779,14,Checking,442356.88,2022-04-21,Closed,USD
4290,44,Loan,281564.02,2020-08-09,Active,USD
1953,20,Savings,53213.98,2021-12-07,Active,USD
3339,24,Business,472832.96,2018-12-03,Active,USD
2088,10,Checking,330780.79,2021-11-16,Active,USD
2913,43,Business,249236.12,2020-05-17,Closed,USD
1262,24,Loan,497084.15,2021-08-14,Active,USD
2659,44,Savings,181434.23,2023-10-16,Closed,USD
3725,12,Savings,418266.86,2024-02-25,Inactive,USD
2674,15,Savings,79684.28,2016-09-27,Active,USD
3911,7,Checking,144381.0,2022-11-29,Inactive,USD
1110,74,Checking,472653.86,2016-11-20,Inactive,USD
4814,26,Business,284965.73,2015-10-18,Inactive,USD
2012,35,Loan,338972.57,2016-09-18,Inactive,USD
1131,95,Business,240509.06,2017-04-30,Closed,USD
1775,15,Savings,398483.8,2021-04-12,Active,USD
2104,50,Business,151575.77,2022-03-21,Closed,USD
1050,20,Savings,342671.99,2017-01-16,Inactive,USD
3635,60,Checking,441292.42,2019-06-16,Active,USD
1305,66,Loan,306990.32,2022-06-10,Closed,USD
2384,25,Business,9217.78,2016-02-26,Closed,USD
1546,99,Business,449516.74,2016-10-15,Closed,USD
4805,25,Business,220825.52,2017-11-01,Inactive,USD
3404,37,Checking,163183.69,2024-12-25,Inactive,USD
3758,22,Business,198240.08,2018-03-15,Active,USD
1772,11,Business,160587.5,2020-05-10,Active,USD
1645,93,Business,31086.06,2022-01-19,Inactive,USD
4432,15,Business,266631.0,2019-05-04,Inactive,USD
1141,78,Business,439274.31,2018-12-10,Closed,USD
2777,28,Checking,181276.93,2019-12-01,Active,USD
2967,41,Business,259971.24,2015-03-16,Active,USD
4957,22,Savings,278736.74,2021-01-26,Inactive,USD
1412,21,Loan,456582.99,2015-06-02,Inactive,USD
4038,77,Checking,107233.95,2024-12-04,Inactive,USD
2545,73,Checking,159990.31,2015-07-19,Inactive,USD
4086,2,Savings,39094.11,2017-09-23,Closed,USD
1108,15,Business,55599.07,2021-12-06,Inactive,USD
