Account_ID,Transaction_Type,Amount,Currency,Date,Status,Reference_No
811,Payment,-652.45,USD,2023-09-12,Failed,cef4859e-8aa
849,Withdrawal,-2917.23,USD,2024-02-26,Pending,cc23f660-4da
333,Transfer,2832.19,INR,2024-04-14,Pending,61875e82-a81
620,Deposit,1626.86,GBP,2023-05-08,Pending,9137bcae-5a0
690,Withdrawal,-1470.84,GBP,2023-03-16,Failed,0aec57fe-1c2
630,Deposit,1588.39,GBP,2024-10-08,Completed,ddfe3a6f-33b
707,Payment,-887.45,INR,2024-02-01,Completed,778a4f27-1f3
382,Payment,-819.38,USD,2023-11-24,Pending,2b982228-66b
307,Transfer,4192.56,INR,2024-11-29,Failed,115da767-a92
745,Withdrawal,-3442.36,INR,2023-05-26,Pending,97b61ba2-567
900,Deposit,1200.43,GBP,2023-06-24,Completed,976b0167-26a
577,Withdrawal,-4461.96,EUR,2023-09-05,Completed,45c39c46-160
459,Deposit,4092.8,EUR,2024-07-15,Completed,2d9dec04-b97
648,Withdrawal,-1638.12,GBP,2023-04-08,Failed,08f6e35d-3bc
985,Transfer,1784.01,EUR,2023-03-27,Completed,cb70c04d-846
624,Deposit,4223.36,USD,2024-01-21,Pending,154e3179-960
613,Withdrawal,-567.53,INR,2023-08-06,Pending,f6a01138-c66
972,Payment,-269.16,USD,2024-11-15,Failed,8ffea659-de5
430,Transfer,3765.36,GBP,2023-10-23,Failed,19f599d6-6ec
595,Deposit,1919.86,EUR,2023-09-26,Pending,e4972ff6-650
591,Payment,-1932.6,USD,2023-05-25,Pending,71033004-198
552,Payment,-2382.65,EUR,2024-07-20,Failed,a18ce3dd-6ee
752,Transfer,1784.9,GBP,2023-07-18,Pending,424fe876-ccf
707,Transfer,2154.26,INR,2023-09-20,Completed,8177b89d-172
975,Transfer,4771.97,GBP,2024-05-13,Pending,3064095e-508
865,Withdrawal,-198.44,USD,2024-05-09,Completed,12f57414-92f
595,Payment,-2382.81,GBP,2024-03-15,Pending,a30f8bce-c17
592,Transfer,2473.12,EUR,2024-10-23,Failed,5ef6447d-ade
292,Withdrawal,-3164.77,GBP,2024-09-10,Pending,5966351c-07e
979,Deposit,3925.58,USD,2024-01-28,Completed,39351e7d-261
270,Deposit,2165.92,INR,2024-10-13,Pending,33f75c7e-cfc
651,Withdrawal,-4900.25,USD,2023-09-17,Failed,38b228be-30b
385,Withdrawal,-2223.21,INR,2024-01-22,Failed,c186668e-f79
540,Withdrawal,-1055.53,EUR,2024-02-07,Pending,93e5e9b0-fc8
358,Payment,-1335.3,GBP,2023-03-31,Completed,2f88356b-e9d
578,Withdrawal,-2677.77,GBP,2023-03-13,Completed,b2772ca4-1fe
619,Transfer,4799.85,EUR,2024-04-23,Failed,38d3c747-32b
