Customer_ID,Investment_Type,Amount,ROI,Maturity_Date
16,Real Estate,1782.98,8.72,2025-06-15
42,Stocks,45177.78,6.29,2027-06-06
19,ETFs,22779.07,2.66,2029-07-19
8,Real Estate,19589.54,4.99,2026-05-18
23,Cryptocurrency,17562.75,5.62,2029-11-15
40,Real Estate,23248.54,4.6,2027-12-19
33,Commodities,11999.04,4.83,2028-10-02
34,Commodities,35373.81,12.47,2025-08-07
9,Mutual Funds,37841.47,5.28,2025-04-18
33,Stocks,31911.88,6.37,2026-03-09
13,Real Estate,30373.46,2.82,2028-04-18
39,Mutual Funds,29030.17,6.08,2029-07-01
5,Real Estate,26260.12,2.92,2029-10-13
32,Mutual Funds,44624.79,12.13,2025-09-30
47,Stocks,27489.19,5.71,2026-03-22
13,Cryptocurrency,39697.39,14.52,2029-11-24
34,ETFs,1472.54,7.54,2028-07-22
6,Mutual Funds,5658.04,8.81,2026-04-29
21,Bonds,29898.78,6.25,2027-08-15
29,Stocks,2421.51,13.54,2029-03-04
29,Commodities,19182.42,13.53,2028-07-13
3,Mutual Funds,36277.51,10.17,2029-07-06
28,ETFs,48930.73,9.5,2025-05-15
12,ETFs,5840.05,6.65,2029-07-28
19,Cryptocurrency,1319.35,4.34,2026-05-13
38,Cryptocurrency,12113.33,5.29,2027-10-30
18,ETFs,26445.68,8.16,2029-05-24
8,Commodities,19883.96,12.24,2028-07-13
32,Cryptocurrency,40635.43,3.69,2029-04-13
42,Real Estate,7654.55,12.8,2025-09-30
13,Mutual Funds,43822.16,14.34,2028-09-19
34,ETFs,16884.49,6.59,2028-03-13
49,Stocks,11198.69,3.6,2028-12-26
13,Bonds,26031.39,14.15,2027-03-27
7,Real Estate,7146.77,2.78,2027-05-31
32,Bonds,10133.82,13.01,2028-03-02
41,Bonds,9251.7,4.4,2028-01-07
19,Real Estate,41457.57,6.51,2029-12-27
2,Mutual Funds,38548.52,6.05,2029-12-10
3,ETFs,38024.19,9.72,2029-07-17
34,Bonds,35233.01,13.5,2026-12-25
43,Bonds,37087.15,2.57,2028-08-04
8,Stocks,46932.58,3.81,2025-06-13
32,Cryptocurrency,46397.4,13.0,2025-07-17
10,Mutual Funds,13237.45,8.28,2025-10-12
31,Mutual Funds,15848.04,4.92,2028-09-20
17,Real Estate,13792.9,10.62,2029-01-09
48,Real Estate,2890.73,11.22,2029-03-25
3,ETFs,34102.81,9.02,2029-07-07
16,Mutual Funds,30196.34,11.43,2029-04-14
29,Cryptocurrency,31611.23,3.53,2025-06-25
9,Real Estate,15976.33,9.96,2029-01-28
49,ETFs,37352.66,7.32,2025-08-21
20,Bonds,19046.88,10.31,2029-07-29
11,Stocks,49113.58,5.21,2029-05-25
24,Commodities,16491.55,14.83,2026-02-11
39,Stocks,39660.34,14.51,2027-02-10
37,Cryptocurrency,48777.45,3.64,2028-05-11
20,Commodities,27010.28,2.65,2028-11-04
36,ETFs,20235.13,10.63,2029-11-27
34,Commodities,18259.66,8.87,2030-02-03
25,ETFs,29662.22,11.93,2025-04-15
30,Bonds,28107.4,9.6,2027-10-13
19,Mutual Funds,48816.74,13.45,2027-08-24
13,ETFs,9053.86,7.99,2025-10-12
2,Mutual Funds,33136.22,6.55,2029-10-18
8,Bonds,31568.59,13.14,2027-08-05
40,Mutual Funds,13555.02,8.38,2026-01-25
36,Bonds,41500.36,14.05,2029-12-26
25,ETFs,4992.64,13.48,2029-08-27
36,Commodities,35495.08,12.11,2026-06-19
45,Stocks,36573.79,10.29,2028-02-18
49,Mutual Funds,14873.93,13.45,2026-12-26
27,ETFs,6459.1,3.77,2029-06-26
43,Real Estate,40098.86,10.04,2026-10-12
49,ETFs,4232.28,5.63,2026-10-09
16,Commodities,48156.65,2.96,2028-12-19
23,Cryptocurrency,22800.13,6.62,2025-06-09
32,Cryptocurrency,7267.69,5.52,2025-06-30
39,Real Estate,23055.49,4.39,2026-11-20
5,Stocks,38244.28,6.74,2025-04-01
9,Real Estate,29291.34,3.05,2025-07-04
11,Stocks,32332.95,7.28,2029-04-13
14,Bonds,26243.34,12.3,2029-04-10
47,Mutual Funds,8214.92,6.14,2029-10-19
12,Mutual Funds,10661.65,14.69,2029-04-20
14,Commodities,39625.74,10.38,2025-08-29
9,Mutual Funds,34038.3,5.11,2028-01-18
5,Stocks,10060.28,13.18,2026-06-10
45,Cryptocurrency,36697.82,13.29,2027-01-02
17,ETFs,43188.35,9.63,2026-01-28
28,Mutual Funds,5578.51,13.03,2027-08-20
2,ETFs,18311.0,9.83,2030-02-07
5,Bonds,41914.44,6.83,2027-02-13
44,Cryptocurrency,16108.93,2.85,2027-01-21
10,Mutual Funds,36523.52,11.02,2028-06-18
2,Stocks,18650.3,9.1,2026-03-26
6,Commodities,13994.06,14.87,2026-11-11
23,Commodities,14188.8,4.68,2025-02-26
22,ETFs,23783.25,14.11,2025-11-07
