Loan_ID,Amount_Paid,Payment_Date,Remaining_Balance
328,1123.54,2022-03-26,45999.31
47,3330.55,2024-07-04,45801.25
256,3220.51,2023-06-24,38285.56
203,859.27,2025-02-07,19154.19
102,2574.47,2022-08-21,29911.95
263,4645.22,2024-08-09,14328.87
27,2259.08,2025-02-11,14180.19
335,2294.69,2024-05-21,17079.44
188,1530.63,2022-03-31,13103.37
480,8148.45,2023-05-28,26401.77
277,4104.31,2024-06-18,20630.79
293,322.88,2022-08-29,35062.73
51,1015.78,2024-12-21,7451.21
454,5797.78,2023-01-28,22863.42
123,5188.53,2024-07-13,16836.43
9,492.18,2023-09-12,29782.5
262,1906.62,2024-11-28,20478.37
160,5750.75,2023-01-24,16291.08
331,6804.44,2022-08-27,29707.8
292,3022.45,2022-12-24,11030.3
118,1728.26,2025-02-17,27481.13
490,6938.7,2024-10-28,17216.24
307,2158.86,2023-09-23,21964.82
93,1730.51,2024-03-10,14796.08
140,2774.34,2024-01-31,8303.86
311,2981.01,2022-08-23,29704.04
152,1105.04,2023-01-30,6005.12
302,7171.24,2024-03-22,32045.08
210,860.83,2023-04-14,5351.36
285,6035.56,2022-11-21,23246.21
63,1439.01,2023-07-18,9198.02
233,8148.86,2022-11-19,26059.69
162,3129.21,2023-07-11,33738.07
226,4959.64,2024-05-07,15059.38
253,9072.23,2023-09-06,21638.15
192,4547.19,2024-07-06,32645.07
488,8349.14,2024-10-17,24200.56
370,6114.14,2022-04-14,15306.51
86,722.8,2024-10-29,10792.26
385,846.72,2024-11-24,5013.94
211,5619.5,2023-07-14,29214.05
383,7271.67,2022-10-03,34545.65
165,2931.77,2023-05-11,22079.83
286,2529.46,2022-05-18,17756.72
322,1824.16,2022-08-09,30371.29
172,4828.48,2025-01-09,16889.77
408,3980.95,2024-11-03,14430.27
123,3203.8,2024-04-08,10075.2
405,2229.25,2022-11-10,7139.17
360,1093.47,2024-10-28,5141.14
52,6502.19,2022-11-05,37998.19
179,9295.99,2023-08-20,27226.84
4,294.01,2022-04-25,18992.78
32,8068.38,2022-05-08,36913.28
271,422.53,2023-03-07,5937.86
384,3052.14,2023-07-13,16186.98
405,2872.79,2024-06-17,34811.52
290,12705.7,2024-10-29,30810.55
200,1394.73,2024-08-11,37130.35
40,4636.51,2022-04-02,30413.99
284,1244.69,2024-09-28,5982.2
134,1167.6,2022-12-02,8438.31
453,4303.14,2024-03-27,34882.59
4,1497.47,2023-03-15,11509.03
225,4940.13,2024-02-12,33797.63
478,7640.67,2023-02-02,35288.46
373,3304.21,2022-07-12,10728.97
297,5265.55,2022-03-08,15039.69
217,8527.81,2024-10-21,24876.22
381,8797.2,2023-12-31,22428.25
48,3026.91,2024-11-03,40536.27
164,5147.35,2023-04-13,23686.43
14,1276.89,2025-01-07,6055.86
220,5974.42,2024-08-23,33259.21
213,7686.94,2023-05-01,40544.31
291,7998.89,2025-01-09,19980.95
250,4374.96,2023-02-21,31410.19
355,11807.05,2025-02-08,28537.36
12,625.49,2023-02-06,47987.61
201,7537.0,2022-05-27,35180.24
86,10493.76,2024-01-04,32224.45
247,661.42,2024-05-06,34004.15
166,7163.35,2022-12-11,32554.36
150,8978.0,2022-09-07,30474.36
422,13287.91,2023-08-28,35107.39
138,4182.09,2022-04-18,34705.38
310,7939.69,2025-01-18,22938.24
374,4345.54,2023-09-18,16920.03
249,4413.59,2022-03-20,20520.32
184,6526.34,2024-01-12,16278.16
478,658.52,2022-12-28,25228.02
39,1430.78,2024-06-15,4556.3
240,1631.58,2023-02-14,13695.91
219,3501.73,2022-06-07,8543.46
33,1225.61,2023-02-12,8745.64
192,1076.94,2025-01-13,8358.36
412,1465.29,2022-07-30,14432.43
224,213.41,2022-06-21,6099.56
250,2116.69,2024-03-13,5114.68
26,3652.27,2023-06-17,28210.65
423,2706.29,2022-08-11,21318.21
386,868.63,2023-12-20,19177.81
30,4199.36,2023-09-14,26215.05
268,10870.5,2022-10-16,28440.67
287,1609.15,2024-03-22,18693.08
314,2404.6,2023-03-27,21482.72
111,3174.55,2024-09-05,45521.8
484,3104.29,2024-08-11,37034.81
283,2289.55,2024-04-25,16286.46
411,11000.95,2024-05-27,31274.94
378,4490.68,2025-02-10,31108.81
293,2951.78,2023-03-31,15156.79
228,4648.79,2024-03-18,32404.0
84,4323.75,2022-10-31,21846.94
70,845.3,2024-02-05,14048.41
493,2370.56,2022-07-04,30747.5
140,2236.14,2023-11-20,15081.35
433,3625.36,2022-07-28,20910.27
275,3775.84,2024-11-03,17766.77
374,721.06,2023-08-28,31537.32
318,5445.9,2023-02-04,14376.45
328,3220.53,2025-01-31,26075.96
19,4885.92,2023-08-10,15111.52
392,2599.58,2023-10-06,23451.3
457,3424.79,2025-01-09,9500.1
87,4716.11,2022-03-24,44781.83
269,2498.48,2024-01-23,16365.39
453,372.52,2024-09-13,15176.69
346,2016.86,2022-03-21,8683.95
420,9571.11,2023-06-21,33514.77
309,5182.02,2023-05-17,28785.88
413,8334.61,2022-06-20,24676.2
421,4040.98,2022-06-24,13658.69
78,2128.49,2023-10-20,24605.76
211,4405.99,2023-02-17,11552.18
174,8483.33,2024-03-20,22731.5
132,9219.63,2022-06-14,31372.79
8,9932.42,2023-11-09,36398.08
214,1944.65,2022-02-21,35007.9
64,3766.63,2025-01-10,21732.77
270,2502.6,2024-04-29,16473.68
89,3923.43,2025-01-31,19567.94
472,1204.06,2023-07-28,47349.92
476,1007.25,2025-02-12,42938.03
405,1431.62,2024-11-27,5324.17
220,9207.78,2024-01-18,27065.45
484,2972.37,2024-12-06,17222.33
149,1361.99,2024-07-30,39553.15
338,1429.93,2024-08-10,7419.92
400,8726.4,2022-08-24,34048.19
14,3415.94,2023-06-17,13180.8
199,7242.48,2023-08-31,17715.57
434,3018.34,2023-03-24,11598.41
49,6320.18,2024-07-26,30664.0
245,3231.14,2025-01-20,11900.88
249,3958.09,2024-05-24,15961.72
193,7566.95,2023-07-02,18278.39
392,7110.13,2022-12-27,24602.03
170,5281.81,2024-04-10,37996.52
10,3501.17,2023-07-07,39947.15
400,5476.84,2025-01-20,19441.6
206,5032.79,2022-12-14,25967.01
411,458.25,2022-10-07,20414.78
318,7922.72,2024-05-15,42033.49
164,5081.74,2025-02-15,14003.15
492,278.13,2023-10-14,11638.87
446,4710.81,2024-11-01,37566.37
119,1322.78,2022-07-24,42402.44
101,12824.25,2023-04-01,32746.15
460,5405.2,2022-10-16,26197.08
186,3757.18,2023-05-24,19800.86
173,10160.28,2023-02-22,29847.11
257,8261.1,2024-07-15,19461.71
53,8945.62,2022-08-27,32154.91
356,700.6,2024-08-18,30944.07
237,3606.92,2025-02-05,10086.52
66,1724.27,2025-02-09,10341.97
216,1541.39,2022-08-08,34128.49
227,5414.73,2022-09-20,14592.49
234,5774.01,2022-10-13,42887.13
124,8945.95,2024-11-10,25733.88
180,218.63,2023-07-11,7176.84
237,10291.33,2024-11-16,35159.73
355,3541.89,2024-04-03,12289.69
34,5857.17,2022-05-15,23391.54
202,6579.14,2022-12-22,19996.27
13,5723.21,2024-09-16,36730.13
439,9641.6,2023-07-19,27733.57
249,2167.18,2022-11-03,17745.0
186,2866.44,2024-07-06,7513.25
37,4947.43,2023-11-04,20540.38
173,11301.2,2022-11-17,35659.83
217,9765.34,2022-10-06,24300.25
97,2124.14,2023-10-16,25426.44
75,4924.22,2025-01-07,24219.08
407,263.56,2023-11-10,36583.49
366,13165.41,2024-02-17,32831.24
332,5813.18,2023-02-27,26024.78
445,530.39,2022-08-31,22722.05
70,628.06,2023-08-09,15198.88
130,5644.43,2022-05-13,13309.75
235,852.04,2023-09-18,9572.52
374,3721.77,2022-05-24,15152.27
133,290.85,2022-10-18,47049.84
178,5487.17,2022-11-02,23684.01
423,4414.33,2024-01-21,18228.4
459,703.37,2024-07-05,32805.61
425,460.09,2023-08-25,4750.7
288,10925.98,2022-07-02,28075.1
173,1107.19,2022-10-19,18075.97
101,6393.04,2025-01-20,22727.49
140,3175.21,2022-12-03,10729.64
228,7477.45,2025-02-07,31969.17
240,2903.65,2022-12-15,19078.09
454,1157.55,2023-10-19,8908.25
339,4848.58,2023-12-03,23099.17
20,950.14,2025-01-01,6011.91
271,3779.71,2023-10-30,21037.13
160,5769.64,2023-12-21,36368.28
467,5652.54,2024-01-17,26166.12
368,2668.9,2024-12-27,28557.95
332,537.26,2024-06-24,9830.59
66,2363.09,2024-07-27,33430.51
389,4633.15,2024-03-06,19635.03
57,124.99,2022-07-02,6254.55
402,1061.33,2023-01-26,10092.54
397,2989.1,2022-09-25,20835.51
486,1143.82,2024-06-19,4565.75
197,4058.67,2022-12-23,30112.2
445,5624.6,2022-05-19,26676.37
15,1196.52,2024-04-18,14467.26
161,8531.77,2023-09-26,31863.63
444,1711.3,2022-09-21,5717.85
331,9276.76,2025-02-15,28694.54
396,8469.26,2023-06-08,26267.16
327,3282.79,2022-04-09,13682.49
372,4812.56,2022-09-29,27455.14
479,4178.79,2022-05-03,39406.97
319,6124.95,2024-09-25,27187.66
491,3089.59,2022-08-29,7503.51
66,3363.62,2024-11-29,10441.03
354,10153.46,2022-09-28,39604.93
313,8363.17,2022-07-22,33251.86
409,235.49,2023-08-17,21647.96
144,2793.57,2025-02-13,42992.29
345,510.95,2023-12-18,25079.2
310,9418.44,2025-01-11,26286.53
438,872.05,2024-08-23,48691.48
111,6086.08,2024-07-02,36383.08
427,5589.23,2022-10-06,38266.68
100,9292.32,2022-10-09,24803.0
252,8563.24,2025-01-17,20776.86
302,8388.52,2024-02-22,41474.56
472,9366.01,2022-03-10,28104.62
398,10570.94,2022-02-27,26146.82
287,3518.18,2024-08-06,21252.26
374,786.02,2024-03-31,31307.44
165,4874.32,2024-10-25,20410.59
285,4688.2,2024-03-13,29189.01
20,2144.5,2024-02-04,11410.3
451,5673.29,2023-05-20,22897.27
360,4779.85,2024-09-18,42646.17
497,2517.34,2024-12-08,31804.45
