Customer_ID,Loan_Type,Amount,Interest_Rate,Start_Date,End_Date,Status
428,Education Loan,405172.91,6.31,2022-08-14,2024-04-17,Active
539,Home Loan,85718.23,13.89,2024-08-01,2033-07-07,Active
581,Business Loan,31765.65,11.1,2022-02-01,2029-09-21,Active
388,Home Loan,297714.75,3.3,2021-06-21,2028-02-18,Default
514,Auto Loan,405379.49,9.53,2021-05-03,2025-06-03,Default
50,Education Loan,273251.24,14.46,2023-04-11,2029-08-23,Default
563,Home Loan,109237.93,13.66,2024-07-30,2032-10-10,Closed
337,Business Loan,102207.11,3.94,2021-06-11,2030-02-03,Active
826,Business Loan,64813.79,5.85,2021-01-10,2023-03-22,Default
432,Home Loan,131736.45,3.6,2023-10-11,2028-05-07,Closed
614,Personal Loan,376140.0,11.21,2023-07-06,2024-12-10,Default
655,Home Loan,374022.04,9.29,2024-06-14,2026-10-07,Active
586,Business Loan,17117.71,13.27,2023-04-16,2024-10-13,Default
894,Home Loan,183127.54,5.04,2020-08-01,2023-03-18,Active
642,Auto Loan,285209.55,5.74,2021-08-25,2030-03-22,Default
326,Auto Loan,99338.94,8.49,2022-03-22,2027-04-21,Closed
421,Personal Loan,110315.34,3.23,2024-07-03,2027-01-12,Pending
929,Home Loan,414353.92,11.25,2024-03-25,2031-05-07,Default
10,Home Loan,310731.78,14.1,2021-01-20,2027-09-29,Closed
644,Home Loan,144897.43,13.8,2020-06-14,2022-08-06,Closed
524,Auto Loan,154552.48,10.58,2024-12-31,2028-06-29,Default
481,Auto Loan,406072.85,13.76,2023-10-14,2028-11-11,Active
165,Business Loan,143586.24,7.83,2024-04-20,2028-04-19,Closed
394,Education Loan,14843.61,12.18,2020-07-26,2027-01-30,Closed
460,Business Loan,210392.78,14.77,2021-06-15,2026-09-14,Active
741,Personal Loan,354831.98,1.63,2022-09-16,2026-08-30,Closed
912,Personal Loan,356408.15,12.18,2021-10-20,2026-07-12,Pending
41,Auto Loan,218350.74,2.76,2022-06-03,2030-11-11,Default
818,Auto Loan,462710.73,6.62,2024-05-16,2026-10-12,Pending
763,Business Loan,333717.46,4.11,2024-03-19,2033-08-17,Pending
339,Home Loan,399126.16,12.34,2020-12-08,2024-11-10,Pending
283,Auto Loan,357945.44,12.32,2023-11-02,2028-11-16,Pending
378,Business Loan,83820.5,14.89,2020-12-30,2022-05-20,Closed
416,Personal Loan,219773.6,5.86,2020-07-18,2025-08-03,Default
99,Home Loan,127815.75,2.11,2021-10-04,2025-01-24,Pending
57,Business Loan,197889.49,2.18,2022-01-01,2029-12-02,Closed
273,Business Loan,241824.75,3.19,2023-04-25,2030-12-24,Pending
119,Business Loan,109152.64,13.31,2021-08-26,2025-12-22,Pending
578,Home Loan,241694.24,3.43,2020-08-31,2026-05-12,Closed
444,Home Loan,446009.6,3.14,2021-12-08,2025-10-03,Pending
30,Education Loan,493903.65,4.34,2023-12-25,2026-04-02,Pending
407,Home Loan,386114.4,6.3,2023-04-18,2028-08-23,Default
497,Education Loan,269107.76,6.07,2023-07-02,2027-05-16,Pending
949,Education Loan,122167.88,3.86,2020-08-04,2025-07-15,Default
120,Personal Loan,453371.37,2.88,2024-12-05,2033-09-25,Active
929,Business Loan,354519.95,6.54,2021-06-08,2023-03-16,Active
496,Business Loan,458282.59,5.31,2022-07-07,2028-03-07,Default
965,Auto Loan,294568.2,7.85,2024-08-26,2031-02-14,Pending
670,Auto Loan,32184.79,14.73,2022-06-07,2028-05-05,Closed
25,Education Loan,190493.81,2.97,2022-05-06,2027-04-05,Default
917,Personal Loan,87837.73,13.57,2023-09-04,2026-10-07,Default
327,Business Loan,363957.46,7.24,2023-08-11,2030-11-05,Closed
996,Auto Loan,186167.16,13.68,2023-04-26,2027-02-07,Pending
59,Personal Loan,302974.85,9.83,2024-04-04,2032-03-09,Pending
62,Education Loan,202968.56,11.08,2022-12-04,2029-06-12,Closed
48,Personal Loan,371780.29,11.32,2022-09-01,2028-01-01,Pending
549,Business Loan,46706.61,13.39,2020-07-02,2026-04-22,Default
857,Education Loan,296204.44,2.91,2021-02-19,2025-12-27,Active
