Merchant_ID,Amount,Payment_Method,Date
270,3022.03,PayPal,2024-05-15
627,2191.04,Debit Card,2024-09-28
857,2436.43,PayPal,2024-06-29
967,2413.74,Credit Card,2024-07-18
898,3302.48,Mobile Payment,2025-02-18
288,1745.29,Mobile Payment,2024-12-14
354,44.63,Mobile Payment,2024-10-14
705,2871.71,Mobile Payment,2024-03-09
636,1777.3,PayPal,2024-03-17
229,3668.75,Mobile Payment,2024-09-20
201,500.38,PayPal,2025-02-09
477,3117.4,Debit Card,2024-12-19
208,498.19,PayPal,2024-12-12
646,529.66,Wire Transfer,2024-03-16
470,711.61,Mobile Payment,2024-11-09
855,3423.78,Credit Card,2024-04-03
334,2860.05,PayPal,2024-08-31
720,965.31,Credit Card,2024-10-05
265,3031.75,Credit Card,2025-01-07
536,3657.96,Debit Card,2024-11-15
847,1199.9,Mobile Payment,2025-01-10
513,3319.74,Mobile Payment,2024-12-20
135,1344.22,Debit Card,2025-02-15
553,4317.81,Wire Transfer,2024-10-25
468,4075.41,Credit Card,2024-06-17
518,2096.98,Wire Transfer,2024-09-25
799,3470.29,Debit Card,2024-05-15
822,2979.73,Wire Transfer,2024-03-01
318,3513.14,Wire Transfer,2024-11-25
814,4277.87,PayPal,2024-09-29
139,2825.76,Debit Card,2025-01-29
347,2654.06,Credit Card,2024-10-24
146,952.74,Debit Card,2024-08-28
195,241.79,PayPal,2024-12-22
660,2153.52,Wire Transfer,2024-03-17
40,979.43,Credit Card,2025-01-24
389,1855.36,PayPal,2024-10-15
799,2914.64,Mobile Payment,2024-12-02
716,1189.85,PayPal,2024-06-08
80,2658.95,Mobile Payment,2024-08-13
232,1689.0,Wire Transfer,2024-10-08
634,313.18,Credit Card,2024-02-28
200,3718.16,Wire Transfer,2024-07-09
57,2601.9,Wire Transfer,2024-07-12
100,3113.68,Debit Card,2024-08-01
601,4573.1,Credit Card,2024-09-06
851,4473.01,PayPal,2024-07-16
537,836.14,Mobile Payment,2024-04-01
527,102.22,Wire Transfer,2024-10-18
566,1945.72,Credit Card,2024-06-06
770,252.66,Wire Transfer,2024-09-21
814,409.56,PayPal,2024-09-10
880,1458.0,Mobile Payment,2024-05-06
4,372.06,PayPal,2024-10-28
221,2880.28,Debit Card,2024-08-04
829,1400.35,PayPal,2024-10-22
596,1773.99,Debit Card,2024-05-04
490,2840.86,Debit Card,2024-05-31
562,4217.1,Credit Card,2024-03-22
531,2767.67,Mobile Payment,2025-01-11
280,2110.89,Debit Card,2024-07-29
414,4135.65,Mobile Payment,2024-10-23
446,1812.28,Wire Transfer,2024-04-28
475,4406.32,Debit Card,2024-06-14
750,806.93,Mobile Payment,2024-04-01
780,1653.21,Wire Transfer,2024-11-21
205,159.72,Wire Transfer,2025-01-28
509,4715.55,Mobile Payment,2025-01-25
926,2405.84,Debit Card,2024-10-05
374,2865.28,Mobile Payment,2024-07-17
363,4265.61,Mobile Payment,2024-07-10
450,1327.33,Credit Card,2024-08-17
539,35.09,Wire Transfer,2024-12-15
166,4901.41,Wire Transfer,2025-01-13
942,3085.87,Mobile Payment,2024-12-11
24,3010.84,PayPal,2024-10-13
671,3623.03,PayPal,2024-09-05
922,1032.29,Mobile Payment,2024-04-17
639,723.22,Credit Card,2024-06-19
449,2509.93,Credit Card,2024-07-18
590,1829.77,Wire Transfer,2025-02-02
53,4389.49,Debit Card,2025-02-18
711,2820.76,Mobile Payment,2024-04-11
200,253.63,Debit Card,2024-07-04
438,4269.49,Wire Transfer,2024-12-04
439,3822.61,Credit Card,2024-03-29
676,2036.61,Mobile Payment,2024-07-24
433,4434.76,Wire Transfer,2024-05-17
309,4624.65,PayPal,2025-01-24
251,1289.88,Debit Card,2025-01-23
226,4327.46,Debit Card,2024-05-19
333,1955.31,Debit Card,2025-01-09
941,735.72,Credit Card,2024-09-21
497,1402.07,Credit Card,2024-10-28
193,66.68,Mobile Payment,2024-10-06
859,2105.89,Wire Transfer,2024-05-16
924,3266.04,Mobile Payment,2024-05-28
934,607.75,Debit Card,2025-02-17
32,1820.76,PayPal,2024-09-18
826,2742.28,PayPal,2024-07-29
