Customer_ID,Device_ID,App_Version,Transaction_Type,Amount,Date
196,5532,4.3.65,Loan Payment,8872.76,2023-03-04
746,9436,4.3.95,Deposit,134.58,2023-05-24
797,8593,5.5.95,Loan Payment,2384.98,2024-03-22
45,9240,2.6.85,Loan Payment,3049.61,2024-11-24
458,5460,4.9.27,Bill Payment,7189.38,2023-07-12
784,9352,4.3.57,Withdrawal,9424.65,2023-10-09
693,6526,4.7.52,Merchant Payment,4172.0,2023-04-27
653,5146,3.0.34,Bill Payment,9910.2,2024-07-22
200,4383,1.5.88,Loan Payment,2767.75,2024-06-03
170,9269,4.6.19,Withdrawal,8456.21,2023-04-29
798,2456,2.3.87,Merchant Payment,9653.01,2024-03-15
944,3178,2.9.25,Transfer,1035.38,2023-02-27
678,5840,4.4.54,Withdrawal,8781.43,2023-06-02
600,9129,1.7.58,Withdrawal,1357.49,2023-07-19
115,7658,1.9.9,Withdrawal,6634.89,2024-10-09
967,9384,2.7.33,Transfer,7516.95,2024-05-19
487,3744,4.5.85,Withdrawal,9757.48,2023-07-11
798,9897,2.7.99,Merchant Payment,841.91,2024-08-25
177,7656,2.1.80,Deposit,8978.44,2024-04-03
505,3504,3.9.33,Transfer,4423.2,2024-02-08
728,9892,3.6.99,Bill Payment,7079.42,2023-06-09
128,2760,1.2.69,Loan Payment,3847.92,2024-04-26
704,9233,3.9.8,Deposit,2682.94,2024-08-30
522,5962,1.9.54,Merchant Payment,5503.37,2024-02-22
450,2327,4.3.64,Transfer,3321.27,2024-10-09
113,5276,4.6.38,Loan Payment,9073.44,2024-08-06
1,1490,3.6.23,Bill Payment,600.3,2025-01-02
741,6946,4.8.96,Withdrawal,380.32,2024-06-08
5,4082,4.5.56,Deposit,9536.01,2024-03-13
344,5675,2.0.44,Withdrawal,3563.63,2024-06-10
949,6627,2.4.46,Merchant Payment,2532.2,2023-07-10
725,7452,2.7.6,Deposit,3600.43,2024-01-16
390,5979,3.6.22,Withdrawal,4339.04,2024-10-16
228,1729,2.6.80,Deposit,125.92,2023-06-29
407,5383,4.5.27,Withdrawal,4258.24,2024-04-02
176,8313,1.0.83,Deposit,6735.06,2024-01-26
935,7820,4.8.85,Transfer,8372.59,2024-06-15
690,1265,3.6.60,Loan Payment,5051.71,2024-06-20
381,2462,5.4.63,Merchant Payment,6770.81,2024-10-09
248,9998,3.4.57,Merchant Payment,402.41,2024-03-17
200,1022,5.6.51,Withdrawal,1279.03,2025-02-14
529,1791,4.5.80,Transfer,9195.44,2024-03-05
951,7116,3.3.86,Merchant Payment,1856.33,2023-05-02
457,5505,5.8.92,Withdrawal,5148.31,2024-04-11
107,5650,3.0.93,Merchant Payment,5151.34,2023-06-01
200,4608,2.0.34,Deposit,9414.87,2023-04-20
523,5121,4.3.86,Deposit,6672.66,2025-01-01
360,7854,5.2.27,Bill Payment,6339.04,2024-10-18
737,3382,2.0.8,Deposit,7268.1,2024-08-10
964,1409,4.1.27,Transfer,4570.77,2023-11-16
620,4988,5.6.27,Loan Payment,2292.68,2024-09-14
671,8197,3.0.52,Loan Payment,5116.12,2024-12-08
286,8207,1.2.83,Transfer,6130.09,2023-04-14
610,6797,2.6.52,Loan Payment,5577.07,2024-01-07
501,1024,2.5.75,Loan Payment,4203.73,2023-04-21
864,7289,4.4.35,Loan Payment,298.69,2024-02-28
599,5845,2.8.31,Transfer,7100.4,2024-08-15
366,8561,2.4.21,Transfer,7632.17,2024-07-01
907,4694,3.2.91,Transfer,1669.02,2023-06-06
223,9913,2.2.20,Merchant Payment,5048.41,2024-12-25
356,9498,3.5.46,Bill Payment,1693.75,2023-05-01
450,6492,4.9.52,Withdrawal,123.63,2024-09-24
835,8637,1.4.94,Withdrawal,5549.95,2023-12-25
64,1303,2.0.68,Transfer,3060.65,2024-12-27
591,4130,2.7.49,Bill Payment,9527.61,2024-03-10
638,4769,1.1.55,Loan Payment,2508.0,2024-02-07
48,1523,2.4.28,Transfer,5224.64,2025-01-10
