Customer_ID,Brokerage_Firm,Total_Invested,Current_Value
1,TD Ameritrade,22833.59,22772.91
35,Fidelity,43444.36,43787.02
11,Fidelity,71491.48,63016.62
23,TD Ameritrade,23526.92,25428.32
39,Merrill Edge,73200.1,62572.2
7,Charles Schwab,97213.31,88129.06
48,Fidelity,41392.18,34173.98
35,Robinhood,51542.39,48060.57
33,TD Ameritrade,78003.51,67398.45
49,Robinhood,51135.63,52981.39
33,Charles Schwab,7279.49,7716.29
14,Charles Schwab,87059.63,84065.66
33,Merrill Edge,73085.03,64546.02
27,Charles Schwab,75281.93,76383.59
1,Fidelity,27438.35,22709.35
48,TD Ameritrade,7927.3,6543.34
44,E*TRADE,33907.4,40143.29
25,Vanguard,77799.05,90336.58
13,Robinhood,52318.95,51700.13
28,Vanguard,34929.64,40153.34
49,Robinhood,99259.66,111412.84
12,TD Ameritrade,57408.49,47787.62
32,Robinhood,26152.64,27068.92
4,Charles Schwab,95026.92,105145.76
20,Charles Schwab,28668.46,32701.06
34,Robinhood,47270.01,51099.55
26,Robinhood,31053.51,29063.09
32,Robinhood,44883.5,47208.69
45,Fidelity,24275.72,27718.19
48,Charles Schwab,71392.58,84391.43
21,Robinhood,29424.84,29698.45
30,Robinhood,41677.96,35319.5
11,TD Ameritrade,67643.08,77776.35
3,Charles Schwab,98031.89,93016.02
28,E*TRADE,37828.95,33203.3
2,Robinhood,95858.55,86731.28
5,E*TRADE,33718.14,29671.37
48,Vanguard,52895.02,49023.22
20,Fidelity,39000.66,40963.26
3,Robinhood,51635.58,44687.64
21,Charles Schwab,71857.18,76554.45
39,Vanguard,15672.73,17232.42
24,E*TRADE,26064.07,26181.71
13,Fidelity,7397.94,7094.94
1,TD Ameritrade,82642.41,80170.68
31,Vanguard,34381.69,33964.82
23,Vanguard,44307.04,50991.7
30,TD Ameritrade,20626.28,18058.75
30,Vanguard,57907.95,51578.5
50,TD Ameritrade,6722.32,5446.21
