User_ID,Action_Type,Timestamp
48,Login,2025-05-24 22:43:51
43,Login,2025-01-02 02:54:08
22,Balance Check,2024-04-30 13:56:10
4,Change Password,2024-11-06 22:05:23
28,Login,2024-03-23 16:48:40
13,Change Password,2025-09-23 21:51:18
39,Logout,2025-10-16 02:27:10
39,Change Password,2024-03-01 10:34:03
5,Change Password,2024-11-20 20:14:08
25,Balance Check,2024-06-11 05:08:07
49,Change Password,2025-04-16 02:31:36
7,Logout,2024-04-11 02:42:44
46,Change Password,2025-03-18 19:23:17
32,Login,2025-10-12 11:00:17
2,Transfer Funds,2024-02-20 02:39:40
22,Change Password,2025-11-15 17:54:44
17,Change Password,2024-07-13 07:47:10
26,Balance Check,2025-06-27 18:15:48
31,Balance Check,2024-06-08 12:52:14
8,Logout,2024-12-27 15:05:39
12,Logout,2025-04-16 23:48:00
5,View Statements,2025-12-06 04:13:08
3,Transfer Funds,2024-02-23 04:03:02
12,Balance Check,2024-03-07 05:31:13
44,Login,2025-04-19 01:22:03
32,Login,2024-12-12 20:50:10
9,View Statements,2024-11-11 22:44:55
27,Logout,2024-01-20 03:44:30
13,View Statements,2025-04-12 12:15:57
47,Transfer Funds,2024-04-11 19:40:21
46,Logout,2024-03-09 13:56:46
28,Change Password,2025-12-07 05:38:15
14,Login,2025-11-02 16:44:59
20,Transfer Funds,2024-09-02 06:14:26
17,View Statements,2025-06-20 22:21:35
19,Login,2025-11-26 08:26:31
34,Balance Check,2025-09-17 07:06:40
32,Change Password,2025-09-26 06:28:31
8,View Statements,2024-10-13 13:27:04
38,Change Password,2025-09-19 16:48:57
22,View Statements,2024-05-09 00:50:23
32,Logout,2025-10-30 03:20:40
34,Change Password,2024-02-26 02:44:07
30,View Statements,2025-10-08 23:39:52
3,Transfer Funds,2024-01-14 02:38:14
25,View Statements,2024-10-31 13:48:19
37,Transfer Funds,2025-08-26 04:58:26
33,View Statements,2024-04-12 16:20:07
1,View Statements,2024-07-28 15:47:43
37,View Statements,2024-12-06 03:10:17
22,Login,2025-10-16 13:05:46
40,Change Password,2025-02-23 18:29:43
33,Login,2024-07-28 13:13:25
50,Logout,2025-08-05 13:34:09
24,Change Password,2025-08-06 02:11:26
40,Transfer Funds,2024-07-13 22:28:20
24,Login,2024-11-10 00:39:03
34,Transfer Funds,2025-04-05 03:51:32
14,Logout,2025-04-06 15:57:33
50,View Statements,2025-01-21 08:40:34
37,Login,2025-01-08 23:46:48
43,Balance Check,2025-10-06 20:59:00
30,Transfer Funds,2024-08-06 00:42:59
21,Transfer Funds,2025-12-27 08:49:38
35,Logout,2025-06-16 06:20:23
18,Login,2024-02-22 03:33:02
49,Change Password,2025-11-02 18:20:11
37,Transfer Funds,2025-07-20 02:29:08
36,Login,2024-10-07 10:41:58
39,Transfer Funds,2024-09-23 06:49:42
9,Balance Check,2025-09-19 06:43:44
22,Login,2025-01-11 21:15:51
26,Login,2025-10-19 12:45:15
13,Change Password,2025-03-12 05:18:43
16,Transfer Funds,2025-12-03 01:26:32
44,Balance Check,2024-05-15 06:16:11
32,Balance Check,2024-10-28 08:55:08
49,View Statements,2024-07-09 18:02:14
35,View Statements,2024-05-09 13:45:13
21,Transfer Funds,2025-11-13 22:12:50
44,Logout,2024-10-03 20:13:04
6,Change Password,2024-03-04 12:40:29
44,Change Password,2025-07-18 03:07:58
14,View Statements,2025-06-04 19:56:34
44,Login,2025-09-27 10:55:01
10,View Statements,2025-01-07 09:14:22
46,Login,2024-02-19 03:36:07
42,Logout,2024-10-03 11:49:16
47,View Statements,2024-04-22 14:22:16
2,View Statements,2024-04-03 23:09:16
27,Transfer Funds,2024-01-29 14:08:57
41,Login,2025-05-09 07:18:27
22,Balance Check,2025-01-30 13:31:26
26,Logout,2024-04-28 20:23:04
17,Transfer Funds,2024-05-18 12:27:16
19,Transfer Funds,2025-10-19 04:34:01
15,Change Password,2025-04-18 09:52:21
50,Balance Check,2025-04-15 05:37:15
26,Logout,2024-04-06 02:45:31
47,View Statements,2024-11-15 13:28:14
48,Balance Check,2024-02-14 14:44:31
36,Login,2025-01-09 08:36:39
50,Change Password,2025-11-29 12:29:31
16,Change Password,2024-12-25 14:10:37
2,Balance Check,2024-06-11 18:11:29
42,Transfer Funds,2024-03-05 08:13:33
24,View Statements,2025-03-14 21:29:46
10,Balance Check,2025-10-27 21:12:28
6,Balance Check,2025-12-30 04:28:29
33,Balance Check,2025-06-30 22:53:41
10,View Statements,2025-06-19 12:08:57
10,Transfer Funds,2024-08-30 21:47:55
11,Balance Check,2024-03-01 23:03:38
32,Login,2025-07-22 09:22:13
40,View Statements,2025-07-05 00:10:38
35,Login,2024-01-22 07:35:14
29,Change Password,2025-08-11 18:46:29
11,Balance Check,2025-09-29 00:05:44
24,Balance Check,2024-08-30 06:53:31
4,Login,2025-11-20 01:17:12
27,Balance Check,2024-09-11 10:37:03
36,Change Password,2025-04-08 18:27:47
5,Change Password,2024-03-16 04:25:25
20,Change Password,2024-05-05 10:21:02
31,Transfer Funds,2024-04-21 02:04:13
18,Logout,2024-10-22 20:17:39
22,Login,2025-06-21 03:43:20
34,Balance Check,2025-12-29 18:04:47
46,Transfer Funds,2025-07-29 00:38:28
8,Change Password,2025-03-10 07:36:46
24,Logout,2024-10-18 19:43:52
18,Logout,2025-03-14 22:43:13
27,View Statements,2025-12-03 22:04:40
26,Balance Check,2025-07-29 23:21:58
35,Transfer Funds,2024-04-12 04:20:55
15,Login,2024-04-17 08:19:20
4,Balance Check,2024-01-03 13:38:32
42,Login,2024-08-08 04:00:33
29,Change Password,2024-09-05 08:44:12
14,View Statements,2024-12-05 01:50:18
3,Login,2024-11-03 19:48:41
47,Balance Check,2024-08-08 20:03:50
42,Logout,2024-01-01 09:55:50
2,Change Password,2025-12-01 19:14:48
